id,sentence,label
261,Only had this a month but it's worked flawlessly so far.,positive
262,Works great.,positive
263,Absolutel junk.,negative
264,THAT one didn't work either.,negative
265,Battery life is real good.,positive
266,Returned 8 hours later.,negative
267,It's a great item.,positive
268,Don't waste your money!.,negative
269,Love this headset!,positive
270,"Not only will it drain your player, but may also potentially fry it.",negative
271,Worked perfectly!,positive
272,Unreliable - I'm giving up.,negative
273,I gave it 5 stars because of the sound quality.,positive
274,Avoid this one if you can.,negative
275,Reversible plug works great.,positive
276,I wasted my little money with this earpiece.,negative
277,Very good phone.,positive
278,"Best of all is the rotating feature, very helpful.",positive
279,Comfort for our whole family.,positive
280,"Good product, good seller.",positive
281,I love this bluetooth!,positive
282,"First of all, it doesn't wear well.",negative
283,I am very impressed with this headset from Plantronics.,positive
284,I got it because it was so small and adorable.,positive
285,Great phone!.,positive
286,I wouldn't recommend buying this product.,negative
287,Piece of Junk.,negative
288,Poorly contstruct hinge.,negative
289,"This item is great, installed it, let it charged up overnite and it has been working good every since with no problems",positive
290,Great Phone.,positive
291,Don't buy it.,negative
292,Excellent Phone.,positive
293,DO NOT PURCHASE THIS PHONE.,negative
294,The voice recognition thru the handset is excellent.,positive
295,This is hands down the best phone I've ever had.,positive
296,"Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.",positive
297,This one works and was priced right.,positive
298,Customer service was terrible.,negative
299,Battery life still not long enough in Motorola Razor V3i.,negative
300,Sending it back.,negative
301,Now I know that I made a wise decision.,positive
302,Someone shouldve invented this sooner.,positive
303,Good price.,positive
304,Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.,positive
305,I received it quickly and it works great!!,positive
306,Has been working great.,positive
307,"As many people complained, I found this headset's microphone was very weak.",negative
308,My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.,negative
309,They do not care about the consumer one bit.,negative
310,"This is a good battery, and it got here really fast.",positive
311,The instruction manual is lacking.,negative
312,Also its slim enough to fit into my alarm clock docking station without removing the case.,positive
313,Phone now holds charge like it did when it was new.,positive
314,The battery is unreliable as well as the service use antena.,negative
315,It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).,negative
316,We have gotten a lot of compliments on it.,positive
317,This is definitely a must have if your state does not allow cell phone usage while driving.,positive
318,I want my money back.,negative
319,I love this device.,positive
320,I am also very happy with the price.,positive
321,I ordered this product first and was unhappy with it immediately.,negative
322,The Ngage is still lacking in earbuds.,negative
323,I was able to do voice dialing in the car with no problem.,positive
324,"I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.",negative
325,"good item, low price.",positive
326,"However-the riingtones are not the best, and neither are the games.",negative
327,The plug did not work very well.,negative
328,AMAZON SUCKS.,negative
329,Rip off---- Over charge shipping.,negative
330,VERY comfortable.,positive
331,The battery is working well as a replacement for the original that came with the phone over 2 years ago.,positive
332,The reception is excellent!,positive
333,"It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.",positive
334,"very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset.",positive
335,1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,negative
336,Obviously there is a problem with the adhesive.,negative
337,Very disappointing.,negative
338,"It was an inexpensive piece, but I would still have expected better quality.",negative
339,It is practically useless and did not add any kind of boost to my reception after I bought it.,negative
340,Excellent sound quality.,positive
341,Was not happy.,negative
342,A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!,negative
343,New Battery works great in phone.,positive
344,Worst customer service.,negative
345,"I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!).",positive
346,Reception is terrible and full of static.,negative
347,Good audio quality.,positive
348,This little device has transformed my organizational capability and made my life a whole lot easier.,positive
349,"I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.",negative
350,Were JERKS on the phone.,negative
351,Works like a charm.. Works as advertised.,positive
352,"Comfortable, Nice Range, Good Battery Life.",positive
353,Their network coverage in Los Angeles is horrible.,negative
354,Excellent starter wireless headset.,negative
355,"The loudspeaker option is great, the bumpers with the lights is very ... appealing.",negative
356,The only thing that I think could improve is the sound leaks out from the headset.,negative
357,"First off the reception sucks, I have never had more than 2 bars, ever.",negative
358,The phone gets EXTREMELY HOT!,negative
359,"The microphone also works well, but (according to people I have called) it applifies everything.",positive
360,Nice design and quality.,positive
361,"Also, if your phone is dropped, this case is not going to save it, specially when dropped face down.",negative
362,"It is light, easy to use, and has very clear reception and transmission.",positive
363,"bad fit, way too big.",negative
364,It definitely was not as good as my S11.,positive
365,awesome device.,positive
366,Waste of money.,negative
367,"I had ordered a motorola data cable, got a very well finished and working product.",positive
368,Love This Phone.,positive
369,I was looking for this headset for a long time and now that I've got it I couldn't be happier.,positive
370,"I'll be drivng along, and my headset starts ringing for no reason.",negative
371,Display is excellent and camera is as good as any from that year.,positive
372,Battery life is also great!,positive
373,The worst phone I've ever had.... Only had it for a few months.,negative
374,Not a good item.. It worked for a while then started having problems in my auto reverse tape player.,negative
375,This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.,negative
376,Protects the phone on all sides.,positive
377,This is a VERY average phone with bad battery life that operates on a weak network.,negative
378,"Clear Skype Calls, Long Battery Life, Long Range.",positive
379,Soyo technology sucks.,negative
380,Great Hands Free Device.,positive
381,"you can even take self portraits with the outside (exterior) display, very cool.",positive
382,Same problem as others have mentioned.,negative
383,After trying many many handsfree gadgets this is the one that finally works well.,positive
384,Magical Help.,positive
385,The worst piece of crap ever along with the Verizon customer service.,negative
386,Poor sound quality.,negative
387,The best phone in market :).,positive
388,It worked very well.,positive
389,The company shipped my product very promptly and it works well.,positive
390,Exactly what I wanted.,positive
391,The picture resolution is far below what other comparably-priced phones are offering today.,negative
392,This is a great deal.,positive
393,"Excellent product, I am very satisfied with the purchase.",positive
394,I highly recommend these and encourage people to give them a try.,positive
395,Better than you'd expect.,positive
396,"Using all earpieces, left or right, this thing will not stay on my ear.",negative
397,Great product and price.,positive
398,"Sounds good reasonably priced and effective, Its that simple !",positive
399,Still Waiting...... I'm sure this item would work well.. if I ever recieve it!,negative
400,what a disappointment,negative
401,Very prompt service.,positive
402,Excellent product for the price.,positive
403,Very pleased with this headset.,positive
404,don't waste your money and time.,negative
405,I especially love the long battery life.,positive
406,"It's so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out.",negative
407,Works great.,positive
408,Plantronics Bluetooth Excelent Buy.,positive
409,I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.,negative
410,I'll be looking for a new earpiece.,negative
411,I highly recommend this device to everyone!,positive
412,Jawbone Era is awesome too!,positive
413,We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement,negative
414,After a year the battery went completely dead on my headset.,negative
415,"I have used several phone in two years, but this one is the best.",positive
416,An Awesome New Look For Fall 2000!.,positive
417,This is the first phone I've had that has been so cheaply made.,negative
418,"Att is not clear, sound is very distorted and you have to yell when you talk.",negative
419,The plastic breaks really easy on this clip.,negative
420,Price is good too.,positive
421,Don't make the same mistake I did.,negative
422,Oh and I forgot to also mention the weird color effect it has on your phone.,negative
423,I'm using it with an iriver SPINN (with case) and it fits fine.,positive
424,Also the area where my unit broke).- I'm not too fond of the magnetic strap.,negative
425,"Overall, I am psyched to have a phone which has all my appointments and contacts in and gets great reception.",positive
426,"every thing on phone work perfectly, she like it.",positive
427,"Another note about this phone's appearance is that it really looks rather bland, especially in the all black model.",negative
428,IT'S REALLY EASY.,positive
429,My Sanyo has survived dozens of drops on blacktop without ill effect.,positive
430,Fantastic earphones.,positive
431,It finds my cell phone right away when I enter the car.,positive
432,Low Quality.,negative
433,I highly recommend this modest priced cellular phone.,positive
434,But it does get better reception and clarity than any phone I've had before.,positive
435,Warning - Stay away.,negative
436,I wish I could return the unit and get back my money.,negative
437,Awsome Device Works Great!!.,positive
438,I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.,negative
439,"If you don't find it, too bad, as again the unit comes with one earpad only.I would not recommend this to anyone.",negative
440,Very Displeased.,negative
441,"I might have gotten a defect, but I would not risk buying it again because of the built quality alone.",negative
442,They made this case too small and is very difficult to install.,negative
443,Restored my phone to like new performance.,positive
444,"I would recommend purchasing the Jabra JX-10 series 2 which works flawlessly with my Moto Q, go figure.",positive
445,"I searched the Internet, and found this one to be the best value.",positive
446,Does not fit.,negative
447,Very happy with this product.,positive
448,"The screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone.",positive
449,There's really nothing bad I can say about this headset.,negative
450,"i'm glad i found this product on amazon it is hard to find, it wasn't high priced.",positive
451,Portable and it works.,positive
452,"My colleague & I now get great reception.A little expensive, but performance is great.",positive
453,I even fully charged it before I went to bed and turned off blue tooth and wi-fi and noticed that it only had 20 % left in the morning.,negative
454,I've also had problems with the phone reading the memory card in which I always turn it on and then off again.,negative
455,Not good when wearing a hat or sunglasses.,negative
456,Timely shipment and quality product.,positive
457,Nice solid keyboard.,positive
458,Very well made and fits my Surefire GX2 perfectly.,positive
459,Horrible phone.,negative
460,BT50 battery junk!.,negative
461,We would recommend these to others.,positive
462,Cant get the software to work with my computer.,negative
463,Disappointed!.,negative
464,poor voice clarity.,negative
465,The battery works great!,positive
466,No buyers remorse on this one!.,negative
467,Very disappointed in AccessoryOne.,negative
468,I find this inexcusable and so will probably be returning this phone and perhaps changing carriers.,negative
469,"Looks great and is strong.""",positive
470,"I have had TMobile service for 2 or 3 years now, and I am pretty happy with it.",positive
471,The update procedure is difficult and cumbersome.,negative
472,Disappointment.. I hate anything that goes in my ear.,negative
473,Great software for Motorolas.,positive
474,The delivery was on time.,positive
475,Very easy to use.,positive
476,"Uncomfortable In the Ear, Don't use with LG VX9900 (EnV).",negative
477,The volume switch rocketed out of the unit to a destination unknown.,negative
478,"It holds a charge for a long time, is reasonably comfortable under long-wearing conditions and the quality of sound is tremendous.",positive
479,I'd like to return it.,negative
480,The keyboard is really worthwhile in usefulness and is sturdy enough I don't expect any problems.,positive
481,"Verizon's bills, however, are difficult to understand even though their pricing plans are simple.",negative
482,"After charging overnight, these batteries work great.",positive
483,You won't regret it!,positive
484,I love this phone!.,positive
485,A Disappointment.,negative
486,Its not user friendly.,negative
487,Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.,negative
488,"Then I exchanged for the same phone, even that had the same problem.",negative
489,This results in the phone being either stuck at max volume or mute.,negative
490,This PDA rocks.,positive
491,"It is super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles.",positive
492,"I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!",positive
493,I had Verizon 2 years ago and really liked their service.,positive
494,Pretty piece of junk.,negative
495,Plug was the wrong size.,negative
496,Works as described.,positive
497,Save your money.... I've had this item for 11 months now.,negative
498,Bad Purchase.,negative
499,WELL IM SATISFIED.,positive
500,"The bose noise cancelling is amazing, which is very important for a NYC commuter.",positive
501,This battery is an excellent bargain!,positive
502,Defective crap.,negative
503,I would have given no star if I was able.,negative
504,I wear glasses and it fits fine with them.,positive
505,"The sound quality for the device is unacceptable.Unless you are in a really quiet area, you almost hear nothing.",negative
506,I would not recommend this item to anyone.,negative
507,The holster that arrived did not match the photo in the ad.,negative
508,great...no problems at all!.,positive
509,"As an earlier review noted, plug in this charger and nothing happens.",negative
510,This frog phone charm is adorable and very eye catching.,positive
511,You never know if you pushed it hard enough or the right number of times for the function you want or not.,negative
512,The sound is clear and the people I talk to on it are amazed at the quality too.,positive
513,I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.,positive
514,"very good product, well made.",positive
515,Mobile Phone Tools are a must have.,positive
516,I am very impressed with the job that Motorola did on the sturdiness of this phone.,positive
517,"I received my orders well within the shipping timeframe, everything was in good working order and overall, I am very excited to have this source.",positive
518,The phone is sturdy and waterproof.,positive
519,I am not impressed with this and i would not recommend this item to anyone.,negative
520,My only complaint is the standard sound volume is a little low even when turned up to 5(of 5),negative
521,Thanks again to Amazon for having the things I need for a good price!,positive
522,I ended up sliding it on the edge of my pants or back pockets instead.,positive
523,I had to go to a store and bought a new NOKIA phone which is working great.,positive
524,Works great!.,positive
525,REALLY UGLY.,negative
526,"horrible, had to switch 3 times.",negative
527,The noise shield is incrediable.,positive
528,No real improvement.,negative
529,Razr Battery - Good buy.,positive
530,Keep up the good work Amazon!!,positive
531,They refuse to refund or replace.,negative
532,Unfortunately it's easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.,negative
533,So I basically threw my money out the window for nothing.,negative
534,Great case and price!,positive
535,All it took was one drop from about 6 inches above the kitchen counter and it was cracked.I am not impressed and I am not laughing.,negative
536,"Bluetooth range is good - a few days ago I left my phone in the trunk, got a call, and carried the conversation without a hitch.",positive
537,"Small, sleek, impressive looking, practical setup with ample storage in place.",positive
538,The eargels channel the sound directly into your ear and seem to increase the sound volume and clarity.,positive
539,none of the new ones have ever quite worked properly.,negative
540,I am glad I purchased it.,positive
541,I've missed numerous calls because of this reason.,negative
542,"Perhaps my phone is defective, but people cannot hear me when I use this.",negative
543,Don't buy this product.,negative
544,"sucked, most of the stuff does not work with my phone.",negative
545,"No shifting, no bubbling, no peeling, not even a scratch, NOTHING!I couldn't be more happier with my new one for the Droid.",positive
546,Worst software ever used.... If I could give this zero stars I would.,negative
547,Trying to make a call on these is an exercise in frustration.,negative
548,The case is a flimsy piece of plastic and has no front or side protection whatsoever.,negative
549,"I own a Jabra Earset and was very happy with it, but the sound quality, especially outgoing, on this is better.",positive
550,"I love the camera, it's really pretty good quality.",positive
551,Thank you for such great service.,positive
552,Its a total package.,positive
553,"The seller is very understanding and patient, I would definitely buy from them again.",positive
554,I give Wirefly 1 star.I will contact Cingular/AT&T; and inform them of this practice.,negative
555,It's AGGRAVATING!,negative
556,Great product for the price!.,positive
557,"I have purchased these for both family and friends, and all enjoy their clarity and ease of use",positive
558,Virgin Wireless rocks and so does this cheap little phone!,positive
559,"None of it works, just don't buy it.",negative
560,"Muddy, low quality sound, and the casing around the wire's insert was poorly super glued and slid off.",negative
561,Please dont waste your money.,negative
562,"All in all, I'm quite satisfied with this purchase.",positive
563,"If you are looking for a good quality Motorola Headset keep looking, this isn't it.",negative
564,Yet Plantronincs continues to use the same flawed charger design.,negative
565,Disapointing Results.,negative
566,Cumbersome design.,negative
567,"Great it was new packaged nice works good, no problems and it came in less time then I expected!!!!",positive
568,Great Product.,positive
569,It's A PIECE OF CRAP!,negative
570,"My experience was terrible..... This was my fourth bluetooth headset, and while it was much more comfortable than my last Jabra (which I HATED!!!",negative
571,This fixes all the problems.,positive
572,Worst ever.,negative
573,I am very happy,positive
574,"I've had no trouble accessing the Internet, downloading ringtones or performing any of the functions.",positive
575,"I can barely ever hear on it and am constantly saying ""what?""",negative
576,The battery life is highly unacceptable.,negative
577,That company is a joke.,negative
578,It does everything the description said it would.,positive
579,Due to this happening on every call I was forced to stop using this headset.,negative
580,"It works great with a car charger, especially if you cannot plug in two adapters at the same time.",positive
581,"Verizon tech support walked my through a few procedures, none of which worked and I ended up having to do a hard re-set, wiping out all my data.",negative
